care for,좋아하다/ 돌보다
carry away,실어 나르다/ 넋을 잃게 하다/ 열광하게 하다
carry on,계속하다/ 경영하다
carry out,수행하다
cast a shadow,그림자를 드리우다
catch a disease,병에 걸리다
catch sight of,～을 언뜻 보다
catch up with,～을 따라가다
chance of,~의 가능성
cling to,~을 고수하다
close at hand,가까이
closed figure,닫힌 도형
come about,일어나다
come across,우연히 만나다
come back,돌아오다/ 생각나다/ 상기하다
come by,획득하다/ 방문하다
come in contact with,～와 접촉하다
come out,나타나다/ 드러나다/ 밖으로 나오다
come over,건너오다/ 엄습하다
come through,성공하다/ 해내다/ 이겨내다
come to,(총계) ~이 되다/ (생각이) 들다
come to life,소생하다/ 살아 움직이다
come to pass,일어나다
come to power,정권을 장악하다/ 권력을 쥐다
come to+do,~하게 되다
come together,모이다
come true,실현되다
come up to,동등하다/ ～에 이르다
come up with,～에 따라가다/ 생각해내다
compare A to B,A를 B에 비유하다
compared with,~와 비교하여
compete to,~하기를 경쟁하다/ 앞 다투어 ~하다
concentrate in,~에 집중하다/ ~에 모이다
concerning,~에 관해서
congratulate on,~을 축하한다
consist in,놓여 있다
consist of,구성되다
consort with,~와 어울리다
contrast of,~의 대비/ ~의 대조
contribute to,~에 기여하다/ ~에 공헌하다
cope with,처리하다/ 다루다
correspond to,비등하다/ 일치하다
correspond with,서신 교환을 하다
count for much,매우 중요하다
count on,～을 믿다
creep out,(살금살금) 기어 나오다
cross dress,이성용의 옷을 입다
cry for joy,기뻐서 울다
cry over,~을 한탄하다
cut a fine figure,두각을 나타내다
cut down,~을 베어내다/ 값을 내리다
cut in,끼어들다
cut off,잘라 내다
day and night,밤낮으로
deal in,장사하다
deal with,다루다/ 취급하다
decorate with,~로 장식하다
depend on,의지하다
devote oneself to,～에 몰두하다
die from,~으로 죽다(부주의/ 과로)
die of,~으로 죽다(병/ 노년)
dispense with,～없이 지내다
dispose of,～을 처분하다
distinguish A from B,A와 B를 구분하다
distinguish oneself,뛰어나다
divide evenly,나누어떨어지다
do away with,제거하다/ 죽이다
do good,～에게 이익이 되다
do good to,이익을 주다
do harm,해를 끼치다
do one justice,～를 공평히 평가하다
do one’s best,최선을 다하다
do one's best,최선을 다하다
do over,다시 하다
do well to,～하는 게 좋다
do without,없이 지내다
don't have to+do,~할 필요가 없다
doze off,(낮에) 잠이 들다
draw up,(길가로 가서) 멈추다/ 세우다
dress up,차려입다
drive away,몰아내다/ 밀어내다
drop in(on+사람/at+집),우연히 방문하다
drop out,낙오하다/ 떨어져 나가다
due to,~으로 인하여/ ~때문에
due to+명사,～ 때문에
dwell in,~에 살다
dwell on,상술(詳述)하다/ 곰곰이 생각하다
each other,서로(둘 사이에)
eat one's word,앞서 한 말을 취소하다
eat up,먹어 치우다
either A or B,A이든가 B이든가 한 쪽
emerge triumphant,큰 승리를 거두다/ 크게 성공하다
emphasis on,~애 대한 강조
empty suit,속 빈 강정/ 빈 수레
enable to,~할 수 있게 하다
end in,~로 끝나다
end with,~와 함께 끝나다
engage in,~에 종사하다/ ~에 관여하다/ ~에 연루되다
enough for+명사,~에 있어서 충분한
enough to+do,~하기에 충분한
enter into,～을 시작하다
even if,~일지라도
even though,~일지라도
every now and then,이따금/ 가끔
(every) once in a while,가끔/ 이따금
every time = whenever,~할 때마다
excel in,~에서 뛰어나다/ ~을 잘하다
except for,~을 제외하고
exert oneself,노력하다
express oneself,의견을 나타내다
face the music,벌을 받다/ 책임지다
face to face,대면하여
fade away,사라지다
fade out,점점 희미해지다
fail in,～에 실패하다
fail to+do,실패하다/ ~ 하지 못하다
fall a victim to,～의 희생이 되다
fall asleep,잠들다
fall back down,다시 아래로 떨어지다
fall back on,～에 의지하다
fall down,넘어지다
fall in love with,사랑에 빠지다
fall in with,우연히 만나다/ 동의하다
fall off,떨어져 나가다
fall short of,미달하다
fall to,시작하다
far away,멀리 떨어져 있는
far from,결코 ～이 아닌
farm the land,농사를 짓다/ 땅을 일구다
feed off,~을 먹다/ ~을 먹고 살다
feed on,~을 먹이로 하다/ ~을 먹고 살다
feel at home,편히 느끼다
feel for,동정하다/ 더듬다
feel like ～ing,～하고 싶다
feel like ~ing,~을 하고 싶다
feel responsible for,~에 대해 책임을 느끼다
figure out,알아내다/ 계산해 내다
fill out,(서류의 빈칸을) 채우다
find fault with,～을 비난하다
find out,발견하다/ 찾아내다
fire on,~에 발포하다
first of all,무엇보다도
fix up,～을 수선하다
flatten out,차츰 평평해지다/ 오름세가 멈추다
fly off,날아가 버리다/ 떨어져 나가다
focus on,~에 초점을 맞추다/ ~에 집중하다
for (this) once,한 번만(이번만)
for a long time,오랫동안
for a minute/moment,잠시 동안
for a second/while,잠시 동안
for ages,오랫동안
for all,～에도 불구하고
for all I know,아마
for all the world,어떤 일이 있어도
for certain,틀림없이
for convenience' sake,편의상
for ever,영원히
for example(or instance),예를 들어
for good (and all),영원히
for lack of,～이 부족하여
for my part,나로서는
for nothing,헛되이/ 이유 없이/ 공짜로
for one thing,첫째로는
for one's life,필사적으로
for oneself,혼자 힘으로
for something’s sake,~을 위해서
for the first time,처음으로
for the future,이후로는/ 장래는
for the last time,마지막으로
for the life of me,아무리 해도
for the most part,대부분/ 대개
for the occasion,임시로
for the present,당분간
for the purpose of,~할 목적으로/ ~을 위해
for the sake of,～을 위하여
for the time being,당분간
for this reason,이런 이유로
for want of,～이 부족하여
for years,여러 해 동안
force ~ upon,~에게 ~을 강요하다
freak out,기절초풍하다
free from,～이 없는
free of,~이 없는
freshen up,몸단장을 하다
from A till B,A에서부터 B까지 (시간)
from A to B,A에서부터 B까지 (장소 & 시간)
from age to age,대대로
from bad to worse,악화하다
from hand to mouth,그날 벌어 그날 사는
from now on,지금부터 계속해서
from one end to the other,한쪽 끝에서 다른 쪽 끝까지
from then on,그때부터 계속해서
furnish A with B,A에게 B를 공급하다
gain access to,~에 접근하다
gain on,～에 따라미치다/ ～을 침식하다
gain popularity,인기를 얻다/ 대중적이 되다
gang up on,~을 집단으로 공격하다
generally speaking,일반적으로 말해서
get along,진척되다/ 살아가다
get along with,~와 사이좋게 지내다
get at,도달하다/ 이해하다
get away,도망치다/ 떠나다
get away with,~을 훔쳐 달아나다/ 죄를 짓고도 무사하다
get back,돌아오다
get exposed,드러나다
get fossilized,화석화되다
get in one's way,～의 방해가 되다
get lost,길을 잃다
get off,내리다
get on,타다
get on with,사이좋게 지내다
get out of,~에서 빠져나오다
get over,회복하다/ 극복하다
get rich,부자가 되다/ 부유해지다
get rid of,제거하다
get stuck on,~에 달라붙다
get the better of,이기다
get the most out of,최대한 활용하다
get through,끝마치다
get tired of,싫증나다
get to,도착하다
get to one's feet,일어서다
get transferred,전달되다/ 전이되다
get up,일어나다
get wind of,눈치 채다
give ~ a call,~에 전화를 걸다
give a party,파티를 열다
give away,(남에게) 거저 주다/ (비밀·정보를) 누설하다
give back,돌려주다
give charity,자선을 베풀다
give forth,～을 발산하다
give in,제출하다/ 굴복하다/ 무너지다
give oneself to,몰두하다
give out,(힘이) 다하다/ 배부하다
give place to,～와 교대하다
give rise to,일으키다
give up,포기하다/ 굴복하다
give way,무너지다/ 물러나다
give way to,~로 바뀌다[대체되다] ~에게 길을 내주다
go down,(가격 등이) 내려가다
go extinct,멸종하다
go for,~을 얻으려 하다/ ~을 좋아하다
